indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
268,15,am 8 años y 2 días,2012,300,"[1, 2, 3, 4, 5]",1075,459,62,42.7,13.5,258.08
264,15,am 8 años y 2 días,2012,280,"[1, 2, 3, 4]",1064,485,60,45.6,12.4,227.47
270,15,am 8 años y 2 días,2012,340,"[1, 2, 3, 4]",1115,375,50,33.6,13.3,242.68
272,15,am 8 años y 2 días,2012,340,"[1, 2, 3, 4, 5, 6]",1126,407,49,36.1,12.0,274.81
267,15,am 8 años y 2 días,2012,300,"[1, 2, 3, 4]",1027,440,48,42.8,10.9,226.63
269,15,am 8 años y 2 días,2012,300,"[1, 2, 3, 4, 5, 6]",1124,483,48,43.0,9.9,275.8
275,15,am 8 años y 2 días,2012,380,"[1, 2, 3, 4, 5, 6]",1289,336,47,26.1,14.0,300.99
278,15,am 8 años y 2 días,2012,400,"[1, 2, 3, 4, 5, 6]",1426,297,45,20.8,15.2,342.56
271,15,am 8 años y 2 días,2012,340,"[1, 2, 3, 4, 5]",1105,392,43,35.5,11.0,255.69
274,15,am 8 años y 2 días,2012,380,"[1, 2, 3, 4, 5]",1278,322,43,25.2,13.4,286.35
276,15,am 8 años y 2 días,2012,400,"[1, 2, 3, 4]",1398,277,39,19.8,14.1,299.59
273,15,am 8 años y 2 días,2012,380,"[1, 2, 3, 4]",1295,313,36,24.2,11.5,277.4
277,15,am 8 años y 2 días,2012,400,"[1, 2, 3, 4, 5]",1421,290,34,20.4,11.7,317.46
281,15,am 8 años y 2 días,2012,450,"[1, 2, 3, 4, 5, 6]",1735,218,22,12.6,10.1,371.95
280,15,am 8 años y 2 días,2012,450,"[1, 2, 3, 4, 5]",1719,211,21,12.3,10.0,358.04
279,15,am 8 años y 2 días,2012,450,"[1, 2, 3, 4]",1702,205,19,12.0,9.3,344.64
283,15,am 8 años y 2 días,2012,500,"[1, 2, 3, 4, 5]",2021,154,19,7.6,12.3,416.65
282,15,am 8 años y 2 días,2012,500,"[1, 2, 3, 4]",1963,155,18,7.9,11.6,397.6
284,15,am 8 años y 2 días,2012,500,"[1, 2, 3, 4, 5, 6]",2053,147,13,7.2,8.8,430.21
0,15,aa 9 días,7,5,[1],60,60,0,100.0,0.0,11.83
44,15,ag 9 meses y 2 días,187,40,"[1, 2]",289,289,16,100.0,5.5,48.4
47,15,ag 9 meses y 2 días,187,80,"[1, 2, 3]",134,127,16,94.8,12.6,19.72
51,15,ag 9 meses y 2 días,187,100,"[1, 2, 3, 4]",124,114,16,91.9,14.0,19.75
43,15,ag 9 meses y 2 días,187,20,"[1, 2]",606,606,15,100.0,2.5,80.2
49,15,ag 9 meses y 2 días,187,90,"[1, 2, 3]",136,125,15,91.9,12.0,19.61
46,15,ag 9 meses y 2 días,187,80,"[1, 2]",132,125,13,94.7,10.4,19.35
48,15,ag 9 meses y 2 días,187,90,"[1, 2]",135,125,13,92.6,10.4,17.61
50,15,ag 9 meses y 2 días,187,100,"[1, 2, 3]",115,106,13,92.2,12.3,17.09
53,15,ag 9 meses y 2 días,187,120,"[1, 2, 3, 4]",101,86,13,85.1,15.1,16.29
45,15,ag 9 meses y 2 días,187,40,"[1, 2, 3]",309,309,12,100.0,3.9,56.67
52,15,ag 9 meses y 2 días,187,120,"[1, 2, 3]",92,77,9,83.7,11.7,13.9
55,15,ag 9 meses y 2 días,187,140,"[1, 2, 3, 4]",73,62,9,84.9,14.5,13.16
57,15,ag 9 meses y 2 días,187,160,"[1, 2, 3, 4]",60,53,8,88.3,15.1,10.29
54,15,ag 9 meses y 2 días,187,140,"[1, 2, 3]",66,55,7,83.3,12.7,10.22
59,15,ag 9 meses y 2 días,187,180,"[1, 2, 3, 4]",60,51,7,85.0,13.7,10.98
42,15,ag 9 meses y 2 días,187,10,"[1, 2]",1192,1192,6,100.0,0.5,145.06
56,15,ag 9 meses y 2 días,187,160,"[1, 2, 3]",60,53,5,88.3,9.4,9.65
58,15,ag 9 meses y 2 días,187,180,"[1, 2, 3]",60,51,5,85.0,9.8,10.04
