indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
166,25,3 años (1095),753,200,"[1, 2, 3]",375,255,24,68.0,9.4,87.03
167,25,3 años (1095),753,200,"[1, 2, 3, 4]",377,251,19,66.6,7.6,95.15
168,25,3 años (1095),753,200,"[1, 2, 3, 4, 5]",365,249,25,68.2,10.0,103.1
169,25,3 años (1095),753,220,"[1, 2, 3]",329,221,23,67.2,10.4,73.64
170,25,3 años (1095),753,220,"[1, 2, 3, 4]",335,219,20,65.4,9.1,83.55
171,25,3 años (1095),753,220,"[1, 2, 3, 4, 5]",361,243,31,67.3,12.8,99.91
172,25,3 años (1095),753,240,"[1, 2, 3]",316,193,24,61.1,12.4,72.89
173,25,3 años (1095),753,240,"[1, 2, 3, 4]",321,203,24,63.2,11.8,83.24
174,25,3 años (1095),753,240,"[1, 2, 3, 4, 5]",333,199,19,59.8,9.5,95.53
175,25,3 años (1095),753,260,"[1, 2, 3]",289,160,18,55.4,11.2,71.69
176,25,3 años (1095),753,260,"[1, 2, 3, 4]",310,185,20,59.7,10.8,92.0
177,25,3 años (1095),753,260,"[1, 2, 3, 4, 5]",303,182,25,60.1,13.7,93.34
178,25,3 años (1095),753,280,"[1, 2, 3]",305,152,15,49.8,9.9,72.07
179,25,3 años (1095),753,280,"[1, 2, 3, 4]",310,158,13,51.0,8.2,78.67
180,25,3 años (1095),753,280,"[1, 2, 3, 4, 5]",302,159,14,52.6,8.8,84.33
181,25,3 años (1095),753,300,"[1, 2, 3]",290,137,13,47.2,9.5,68.06
182,25,3 años (1095),753,300,"[1, 2, 3, 4]",283,143,17,50.5,11.9,73.93
183,25,3 años (1095),753,300,"[1, 2, 3, 4, 5]",287,154,20,53.7,13.0,82.07
184,25,3 años (1095),753,340,"[1, 2, 3]",271,107,10,39.5,9.3,62.31
185,25,3 años (1095),753,340,"[1, 2, 3, 4]",292,119,15,40.8,12.6,72.2
186,25,3 años (1095),753,340,"[1, 2, 3, 4, 5]",314,123,10,39.2,8.1,83.07
187,25,3 años (1095),753,380,"[1, 2, 3, 4]",328,88,17,26.8,19.3,77.24
188,25,3 años (1095),753,380,"[1, 2, 3, 4, 5]",327,95,13,29.1,13.7,82.14
189,25,3 años (1095),753,400,"[1, 2, 3, 4]",346,77,8,22.3,10.4,80.19
190,25,3 años (1095),753,400,"[1, 2, 3, 4, 5]",346,85,7,24.6,8.2,85.54
191,25,3 años (1095),753,450,"[1, 2, 3, 4]",365,54,3,14.8,5.6,77.08
192,25,3 años (1095),753,450,"[1, 2, 3, 4, 5]",387,56,8,14.5,14.3,84.59
193,25,3 años (1095),753,500,"[1, 2, 3, 4]",436,28,2,6.4,7.1,88.85
194,25,3 años (1095),753,500,"[1, 2, 3, 4, 5]",440,29,3,6.6,10.3,91.68
195,25,6 años y 1 días (2191),1509,100,"[1, 2, 3, 4]",1283,1244,102,97.0,8.2,290.85
196,25,6 años y 1 días (2191),1509,100,"[1, 2, 3, 4, 5]",1315,1277,102,97.1,8.0,364.72
197,25,6 años y 1 días (2191),1509,100,"[1, 2, 3, 4, 5, 6]",1370,1333,85,97.3,6.4,373.84
198,25,6 años y 1 días (2191),1509,120,"[1, 2, 3, 4]",1109,1031,105,93.0,10.2,248.79
199,25,6 años y 1 días (2191),1509,120,"[1, 2, 3, 4, 5]",1142,1066,91,93.3,8.5,289.27
200,25,6 años y 1 días (2191),1509,120,"[1, 2, 3, 4, 5, 6]",1156,1084,83,93.8,7.7,326.53
201,25,6 años y 1 días (2191),1509,140,"[1, 2, 3, 4]",978,853,78,87.2,9.1,225.16
202,25,6 años y 1 días (2191),1509,140,"[1, 2, 3, 4, 5]",985,856,89,86.9,10.4,250.13
203,25,6 años y 1 días (2191),1509,140,"[1, 2, 3, 4, 5, 6]",1024,897,98,87.6,10.9,296.02
204,25,6 años y 1 días (2191),1509,160,"[1, 2, 3, 4]",925,749,93,81.0,12.4,219.97
205,25,6 años y 1 días (2191),1509,160,"[1, 2, 3, 4, 5]",952,781,92,82.0,11.8,260.74
206,25,6 años y 1 días (2191),1509,160,"[1, 2, 3, 4, 5, 6]",979,796,76,81.3,9.5,286.84
207,25,6 años y 1 días (2191),1509,180,"[1, 2, 3, 4]",854,644,88,75.4,13.7,202.03
208,25,6 años y 1 días (2191),1509,180,"[1, 2, 3, 4, 5]",891,676,79,75.9,11.7,236.49
209,25,6 años y 1 días (2191),1509,180,"[1, 2, 3, 4, 5, 6]",904,674,75,74.6,11.1,261.95
210,25,6 años y 1 días (2191),1509,200,"[1, 2, 3, 4]",807,559,64,69.3,11.4,193.5
211,25,6 años y 1 días (2191),1509,200,"[1, 2, 3, 4, 5]",837,590,79,70.5,13.4,223.16
212,25,6 años y 1 días (2191),1509,200,"[1, 2, 3, 4, 5, 6]",831,589,76,70.9,12.9,244.57
213,25,6 años y 1 días (2191),1509,220,"[1, 2, 3, 4]",796,497,56,62.4,11.3,182.94
214,25,6 años y 1 días (2191),1509,220,"[1, 2, 3, 4, 5]",846,536,73,63.4,13.6,217.96
215,25,6 años y 1 días (2191),1509,220,"[1, 2, 3, 4, 5, 6]",855,544,74,63.6,13.6,242.29
216,25,6 años y 1 días (2191),1509,240,"[1, 2, 3, 4]",789,446,52,56.5,11.7,185.87
217,25,6 años y 1 días (2191),1509,240,"[1, 2, 3, 4, 5]",804,459,62,57.1,13.5,206.99
218,25,6 años y 1 días (2191),1509,240,"[1, 2, 3, 4, 5, 6]",824,478,70,58.0,14.6,234.92
219,25,6 años y 1 días (2191),1509,260,"[1, 2, 3, 4]",752,390,55,51.9,14.1,178.35
