indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
68,descending_triangle,3,31.84,22.39,19,55.33,15.8
69,double_top,4,14.04,14.09,24,41.5,28.6
69,double_bottom,2,15.07,13.79,21,44.5,14.3
69,head_and_shoulders,2,20.42,19.29,22,57.5,14.3
69,inv_head_and_shoulders,1,20.45,16.28,21,72.0,7.1
69,ascending_triangle,4,19.44,20.91,22,81.75,28.6
69,descending_triangle,1,11.92,22.83,15,120.0,7.1
70,double_top,5,13.41,14.24,22,40.0,27.8
70,double_bottom,3,16.59,13.58,21,39.33,16.7
70,head_and_shoulders,3,19.54,20.58,22,48.33,16.7
70,inv_head_and_shoulders,2,20.22,16.49,24,52.0,11.1
70,ascending_triangle,4,20.48,20.96,20,85.0,22.2
70,descending_triangle,1,11.92,22.74,15,120.0,5.6
71,double_top,4,15.96,16.56,18,56.75,33.3
71,double_bottom,2,16.84,17.34,20,47.0,16.7
71,head_and_shoulders,2,26.28,24.05,20,63.0,16.7
71,inv_head_and_shoulders,2,19.45,15.77,15,70.0,16.7
71,ascending_triangle,2,15.67,19.24,14,92.0,16.7
71,descending_triangle,0,0.0,27.82,13,0.0,0.0
72,double_top,6,15.71,16.02,18,38.83,40.0
72,double_bottom,2,17.11,16.07,17,47.0,13.3
72,head_and_shoulders,2,26.28,24.39,17,63.0,13.3
72,inv_head_and_shoulders,2,17.08,14.73,17,50.5,13.3
72,ascending_triangle,2,15.71,19.02,18,92.0,13.3
72,descending_triangle,1,30.98,27.09,12,70.0,6.7
73,double_top,3,17.12,17.84,16,58.67,50.0
73,double_bottom,0,0.0,18.94,13,0.0,0.0
73,head_and_shoulders,1,26.8,24.43,13,52.0,16.7
73,inv_head_and_shoulders,0,0.0,17.89,12,0.0,0.0
73,ascending_triangle,1,11.66,22.24,14,160.0,16.7
73,descending_triangle,1,31.35,24.68,7,114.0,16.7
74,double_top,5,16.71,17.66,15,45.6,38.5
74,double_bottom,2,19.62,18.74,16,44.5,15.4
74,head_and_shoulders,1,26.8,24.46,13,52.0,7.7
74,inv_head_and_shoulders,0,0.0,18.31,14,0.0,0.0
74,ascending_triangle,5,17.05,22.89,18,94.6,38.5
74,descending_triangle,0,0.0,24.68,7,0.0,0.0
75,double_top,3,19.37,20.29,14,53.67,42.9
75,double_bottom,0,0.0,20.74,14,0.0,0.0
75,head_and_shoulders,1,26.37,25.28,13,68.0,14.3
75,inv_head_and_shoulders,1,22.97,19.37,12,101.0,14.3
75,ascending_triangle,1,11.89,24.54,14,120.0,14.3
75,descending_triangle,1,21.85,25.1,6,120.0,14.3
76,double_top,3,19.58,19.59,14,65.0,42.9
76,double_bottom,0,0.0,20.84,11,0.0,0.0
76,head_and_shoulders,1,26.37,25.28,13,68.0,14.3
76,inv_head_and_shoulders,0,0.0,19.36,11,0.0,0.0
76,ascending_triangle,3,15.35,24.33,13,100.0,42.9
